data_reserva,responsavel,codigo,descricao,quantidade,unidade,cc,reserva,data_entrega,laudo,quantidade_recebida,pendencia,responsavel_recebimento
2026-01-27 00:00:00,Diana Maia,2178643,PARTÍCULA MAGNÉTICA VIA ÚMIDA FLUORESCENTE CLY2000,50,lt,50012127,33691090,2026-02-09 00:00:00,Parcial,50,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,5117151,"REBOLO RETO A RT  76,2X 19X  9,5MM A60R6",100,pç,50012127,33691090,2026-02-09 00:00:00,Parcial,100,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,2234295,MEDIDOR LUZ BRANCA LUXÍMETRO,2,pç,50015127,33691193,2026-02-09 00:00:00,Aprovado,2,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,1038281,OLEO SURPENETRAÇAO OFA (DESINGIPANTE E LUBRIFICANTE),24,pç,50012127,33691090,2026-02-09 00:00:00,Parcial,24,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,2217817,MARCADOR INDUSTRIAL BRANCO,24,pç,50012127,33691090,2026-02-09 00:00:00,Parcial,24,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,2201714,"DISCO DESBASTE/ACAB 114,30/ 22,225 GR40 (LARANJADO) LIXADEIRA ELETRICA",80,pç,50013125,33691192,2026-01-28 00:00:00,Aprovado,80,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,5031007,"DISCO DESBASTE/ACAB 177,80/ 22,2 GR40 (LARANJADO)",80,pç,50012127,33691090,2026-02-09 00:00:00,Parcial,80,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,2270381,"DISCO DESBASTE 115/ 22,23X 6,5MM WALTER LIXADEIRA ELETRICA",80,pç,50013125,33691192,2026-01-28 00:00:00,Aprovado,80,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,2255309,PÓ MAGNÉTICO VIA SECA AMARELO,40,kg,50013125,33691192,2026-01-28 00:00:00,Aprovado,40,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,5004140,MALHA DE SEGURANÇA PARA MANGUEIRAS,10,pç,50012127,33691090,2026-02-09 00:00:00,Parcial,10,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,2182683,MARTELO DE POLIURETANO,1,pç,50012127,33691090,2026-02-09 00:00:00,Parcial,1,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,5011279,LUBRIFICANTE INDUSTRIAL SPRAY PARA LIXADEIRAS,24,pç,50012127,33691090,2026-02-09 00:00:00,Parcial,24,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,2213268,LANTERNA CABEÇA KM-162 12 LÂMPADAS LED,2,pç,50015127,33691193,2026-02-09 00:00:00,Aprovado,2,0,Diana Maia
2026-01-27 00:00:00,Diana Maia,2170392,FITA DUPLA FACE,1,pç,50013125,33691192,2026-01-28 00:00:00,Aprovado,1,0,Diana Maia
